job_id,title,company,location,link,description,num_applicants,posted_date
4115763088,"Software Engineer I, Frontend (Accommodation)",tiket.com,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/software-engineer-i-frontend-accommodation-at-tiket-com-4115763088?trk=public_jobs_topcard-title,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.Your main duties in flying with us:Develop and maintain responsive and interactive user interfaces using React.js and Next.js. Work on server-side rendering (SSR) and static site generation (SSG) with Next.js. Collaborate with senior developers and designers to implement new features and improve existing functionality. Write clean, reusable, and efficient code Participate in code reviews and contribute to best practices. Troubleshoot and debug applications. Stay up-to-date with the latest web development trends and technologiesMandatory belongings that you must prepare:0-2 years of experience in frontend developmentSolid understanding of JavaScript, HTML, CSS, and the React ecosystem. Experience with Next.js, including server-side rendering and static site generation. Familiarity with state management tools like Redux or Context API. Knowledge of RESTful APIs and how to integrate them into React/Next.js applications. Ability to work with version control systems (e.g., Git). A basic understanding of responsive design and cross-browser compatibility. Strong problem-solving skills and attention to detail. Excellent communication and teamwork skills. Eagerness to learn and grow in a fast-paced environmentIn the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",Over 200 applicants,3 months ago
3966594215,Junior IT Developer,PT Bank Digital BCA (BCA Digital),"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/junior-it-developer-at-pt-bank-digital-bca-bca-digital-3966594215?trk=public_jobs_topcard-title,"ResponsibilitiesAnalyse, design and develop an apps based on customer, business and Bank's operational needs.Perform system testing, both unit tests and system integration tests, to ensure that the application can be used and connected to other required systems.Monitor and maintain apps performance and enhancement to suit the needs of customers, business, and the Bank's operations.Develop and manage documentation related to apps development.Requirements1-3 years as Developer using Java / PHP / Low Code Programming.Good understanding of microservice and APIFamiliar with Java Spring BootFamiliar with agile scrum frameworkFamiliar with PostgeSQL and MySQL databaseGood communication and collaboration skill.Good understanding of software security.Able to do code testing, bug troubleshooting, and provide application support.Updated on technological developments.Preferably Having an experience in Banking Industry",Over 200 applicants,9 months ago
4170847328,Frontend Developer (React JS),Padepokan Tujuh Sembilan,"Bandung, West Java, Indonesia",https://id.linkedin.com/jobs/view/frontend-developer-react-js-at-padepokan-tujuh-sembilan-4170847328?trk=public_jobs_topcard-title,"ResponsibilitiesMengembangkan dan memelihara aplikasi web menggunakan React.jsMengoptimalkan aplikasi untuk kinerja, kecepatan, dan aksesibilitasBerkolaborasi dengan tim Backend dan UI/UX Designer untuk menghasilkan pengalaman pengguna terbaikMenerapkan best practices dalam pengembangan Front EndMelakukan review kode dan debugging untuk memastikan kualitas aplikasiMengikuti perkembangan teknologi Front End dan menerapkannya jika dibutuhkanRequirementsMemiliki pengalaman minimal 3 tahun dalam pengembangan aplikasi Front End menggunakan React.jsMahir dalam JavaScript (ES6+), TypeScript, HTML5, dan CSS3 (SASS/SCSS, Tailwind, Styled Components, dll.)Berpengalaman dengan State Management (Redux, Context API, Zustand, atau Recoil)Memahami konsep Component-based Architecture dan HooksBerpengalaman dengan RESTful API dan GraphQLMemiliki pengalaman menggunakan Next Js (nilai plus)Terbiasa menggunakan Git & GitHub/GitLab dalam tim pengembanganMemahami Testing Front End menggunakan Jest, React Testing Library, atau Cypress (nilai plus)Mampu mengoptimalkan performansi aplikasi dan memahami teknik lazy loading, code splitting, dan memoizationMemiliki pengalaman dengan CI/CD dan deployment aplikasi Front End (Vercel, Netlify, AWS, atau Firebase) (nilai plus)Pemahaman dasar mengenai UI/UX Design dan mampu bekerja sama dengan tim desain (Figma, Adobe XD)Memiliki sertifikat di bidang Frontend development tools yang relevan menjadi nilai tambah",67 applicants,1 month ago
4199554439,Internship Web Developer,PT. Sasa Inti,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/internship-web-developer-at-pt-sasa-inti-4199554439?trk=public_jobs_topcard-title,"DESKRIPSI PEKERJAANMendukung pengembangan situs web berdasarkan kebutuhan bisnis.Mendukung pengembangan dan penyelesaian pengembangan web sesuai dengan jadwal yang telah ditetapkan.Membantu dalam penyusunan dokumen terkait pengembangan web (spesifikasi teknis, skenario dan hasil pengujian, serta panduan pengguna).",Over 200 applicants,3 days ago
4188450252,Front End Developer,PT Adicipta Inovasi Teknologi,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/front-end-developer-at-pt-adicipta-inovasi-teknologi-4188450252?trk=public_jobs_topcard-title,"Develop and maintain web applications using React.js, including integration with backend APIs.Optimize application performance to be fast, responsive, and user-friendly.Contribute to architecture and best practices in frontend development.Implement UI/UX that is in accordance with the design of the design team.Ensure web applications are compatible across browsers and devices.Assist in debugging and troubleshooting when there are issues in the frontend system.Work closely with the backend team to ensure smooth system integration.Minimum QualificationsCandidate must possess at least a Bachelor's Degree, Computer Science or Information Technology, Engineering (Computer or Telecommunication) or equivalentMinimum 1 year of experience in frontend development with React.js.Proficient in JavaScript (ES6+), TypeScript, HTML, CSS, Tailwind CSS, or Styled Components.Experience with state management such as Redux, Zustand, or React Context API.Understanding SSR & SSG with Next.js is a plus.Experience in REST or GraphQL API integration.Able to write clean, maintainable, and scalable code.Able to work in a team and have good communication.",30 applicants,2 weeks ago
4158977188,Web Developer,PT Astra International Tbk,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/web-developer-at-pt-astra-international-tbk-4158977188?trk=public_jobs_topcard-title,"Deskripsi PekerjaanMengembangkan aplikasi berbasis webMenemukan dan memperbaiki bug dan melakukan pemrogramanPersyaratanMinimal pendidikan D3 jurusan Teknik Informatika, Sistem Informasi, Ilmu Komputer dan jurusan lain yang relavanMemiliki komunikasi yang baik dan keterampilan interpersonal yang baikMemiliki motivasi untuk mempelajari teknologi baru Dapat bekerja secara mandiri dan bekerja sama dalam timMemiliki kemampuan pemrograman .Net/PHP/Javascript",Over 200 applicants,1 month ago
4180623888,Software Engineer (Backend) - Digital Products,Flip,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/software-engineer-backend-digital-products-at-flip-4180623888?trk=public_jobs_topcard-title,"About The TeamIn the Digital Product team at Flip.id, you will be part of a dynamic and rapidly growing group responsible for building, maintaining, and enhancing the end-to-end process of purchasing digital products (Pulsa, Token Listrik, Game Voucher, etc). Our mission is to deliver seamless and efficient digital experiences. You’ll have the unique opportunity to shape our direction and drive innovation as we expand. You’ll be involved in creating and launching new products, improving the user journey, conducting experiments, integrating partner services, and handling operational issues. Collaborate with cross-functional teams to make a real impact on millions of users across Indonesia.About FlipRafi, Luqman, and Anjar, who were college friends in Universitas Indonesia, started Flip as a project in 2015 to transfer payments to each other at a fraction of what banks would charge them. They are pioneers in the Indonesian market, with their technology now helping millions of Indonesians, both individuals and businesses, carry out bank-to-bank money transfers through a reliable and seamless app.After eight years of operations, Flip has helped Indonesians transfer money worth several trillions of rupiah and has received double-digit funding from respectable investors such as Sequoia India, Insight Partner, and Insignia. Flip’s ultimate mission is to give Indonesians access to one of the most progressive and fairest financial services in the world.At Flip, we always strive to provide the fairest place for you to work, learn, and grow with talented and fun people in various opportunities to advance your career and get fair rewards. We believe that we have to treat employees, customers, and all stakeholders fairly and respectfully. Fair treatment for employees means we establish clear goals, facilitate our employees to achieve them, and value their contribution to the company with equitable benefits.What You'll DoWork cross-functionally with the Product, Design, BD, Operations, and Backend teams across the squads to ship world-class products and features.Write code that's clear, concise, performant, tested, and easily understood by others.Partner with the product management team to execute the feature roadmap.Work with the overall backend teams to execute the engineering roadmap.Help debug production issues across services and levels of the stack.What You'll NeedHave a solid background in common programming problems and solutions.Strong knowledge and experience in PHP, Yii2 experience is a plus.Intermediate knowledge and experience in Go.Experience in using GCP Stack is a plus.Experience in working with large data set and/or high concurrency system is a plus.Experience in migrating monolith service into micro services is a huge plus.Solid understanding of algorithms, algorithmic complexities, OOP, design patterns, and clean code.Ability to plan, prioritize, estimate, and execute a task with a good degree of predictability.Ability to scope, review and refine user stories and/or tasks for technical completeness and to alleviate dependency risk.P.S. if you experience problems when submitting your CV through this platform, you can send it directly to career@flip.id",Be among the first 25 applicants,3 weeks ago
4004929713,Software Engineer (Junior/Fresh Graduate),Argus Labs,Indonesia,https://id.linkedin.com/jobs/view/software-engineer-junior-fresh-graduate-at-argus-labs-4004929713?trk=public_jobs_topcard-title,"Argus Labs is building the next generation of massively multiplayer online (MMO) games by empowering players with the extensive freedom to build, extend, and influence the game worlds they inhabit. Our approach is centered around World Engine, our state-of-the-art onchain game server framework.World Engine leverages a novel sharded rollup blockchain architecture, which allows games to use smart contracts for user-generated content (UGC) while scaling to tens of thousands of concurrent users without compromising performance. To date, World Engine is the most performant blockchain designed from the ground up for games and has been used in production for games like Dark Frontier, processing 700K+ player transactions within a week.Backed by the bestWe raised $10 million in seed funding led by Haun Ventures ($1.5B crypto fund led by former a16z GP, Katie Haun) with participation from influential angel investors in tech and gaming such as Elad Gil and Balaji Srinivasan (ex-Coinbase CTO).Learn About Who We Are And Our Technologyhttps://argus.gghttps://world.devhttps://twitter.com/ArgusLabs_About The RoleArgus Labs hires a highly competitive cohort of junior/fresh graduates based in Indonesia. The role doesn't expect you to have prior working experience in software engineering; we are here to show you the ropes through our engineering team distributed across Silicon Valley and Indonesia. We pay above-market salary for competitive applicants.ResponsibilitiesContribute to World Engine core protocol engineering.Participate in research engineering efforts on domains including but not limited to: compilers/interpreters and applied cryptography.Design, develop, and maintain the web platform product suite, ensuring its scalability, reliability, and performance.Collaborate with product managers, designers, and other engineers to define and implement new features and improvements.Ensure code quality through code reviews, testing, and automation.Participate in the entire software development lifecycle, from requirements gathering to deployment and maintenance.RequirementsThis is a fresh graduate role; while no work experience is needed, we highly index on past demonstration of software engineering capabilities such as:Highly technical personal projects (compilers/interpreters, P2P, byzantine fault-tolerant distributed system, cryptography, etc)Competitive programming competitions (OSN, IOI, ICPC, USACO, Google Code Jam, etc)Capture-The-Flag competitions (GEMASTIK, DEFCON, PicoCTF, etc)Other related competitions/contests (Intel ISEF, Google Code-in, Google Summer of Code, etc)Computer Science (or other relevant technical degree) from reputable local or international universities.Fluent in both spoken and written English.Nice to havePrior experience in GoPrior experience in Blockchain engineeringPrior experience in applied cryptographyPerks & benefitsFor full-time employeesA note for the game industry veterans: no crunch :-)Flexible PTO (2 weeks required) + holidays100% employer-covered medical, dental, and vision insurance (US)401k (US)Up to $1500 desk set-up stipendCompany retreatsWe’re an equal-opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, or disability status.",Over 200 applicants,7 months ago
3779651882,Web Developer,Torch,"Bandung, West Java, Indonesia",https://id.linkedin.com/jobs/view/web-developer-at-torch-3779651882?trk=public_jobs_topcard-title,"ResponsibilitiesJob OverviewWe are seeking a highly skilled and creative Webmaster to join our team and take charge of managing our webstore. As the Webmaster, you will be responsible for enhancing the user interface (UI) and user experience (UX) of our webstore, optimizing its speed and functionality, and ensuring seamless development on the Shopify platform. You will collaborate with various stakeholders to revamp our webstore and create an exceptional online shopping experience for our customers.Job RoleOversee the design, layout, and functionality of our webstore to ensure a visually appealing and user-friendly experienceImplement improvements to the UI/UX, making data-driven decisions to enhance customer engagement and conversion ratesCollaborate with cross-functional teams, including marketing and development, to understand business requirements and align webstore functionalities accordinglyTroubleshoot and resolve any issues related to webstore performance, ensuring optimal speed, functionality, and compatibility across different devices and browsersUtilize your strong logical thinking and problem-solving skills to identify and resolve errors or bugs in a timely mannerStay up to date with the latest trends and best practices in web design, UI/UX, and e-commerce to suggest innovative ideas for continuous improvementProvide support and guidance to the team regarding Shopify functionality and integrationsRequirementsJob QualificationsBachelor's degree in Computer Science, Web Design, or a related field (or equivalent experience)Proven experience as a Webmaster or similar role, with a strong portfolio showcasing your UI/UX expertise and successful webstore managementProficiency in Shopify, including theme customization, app integrations, and performance optimizationSolid understanding of HTML, CSS, JavaScript, and Ruby, with the ability to modify code as neededFamiliarity with Shopify Liquid, the templating language used in Shopify, for customizing themes and working with Shopify's data objectsStrong analytical and problem-solving skills to troubleshoot and resolve issues efficientlyExcellent attention to detail and ability to multitask in a fast-paced environmentAbility to collaborate effectively with cross-functional teams and communicate technical concepts to non-technical stakeholdersUp-to-date knowledge of current web design trends, UI/UX best practices, and e-commerce industry standardsStrong organizational skills and ability to meet deadlinesFast and lifelong learner is a must",Be among the first 25 applicants,1 year ago
4178221580,Web Developer,PT Bank Digital BCA (BCA Digital),"South Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/web-developer-at-pt-bank-digital-bca-bca-digital-4178221580?trk=public_jobs_topcard-title,"ResponsibilitiesAnalyse, design and develop an apps based on customer, business and Bank's operational needs.Perform system testing, both unit tests and system integration tests, to ensure that the application can be used and connected to other required systems.Monitor and maintain apps performance and enhancement to suit the needs of customers, business, and the Bank's operations.Develop and manage documentation related to apps development.RequirementsAt least 2-3 years of Web Developer experience using TypeScript, React.js, and Next.js.Proficiency in React.js and Next.js is required.Good understanding of micro frontend architecture.Additional experience with client-side tools like React Query, Redux is preferred.Knowledge of infrastructure like Docker and Kubernetes.Familiar with Java and Spring Boot.Good communication and collaboration skill.Good understanding of software security.Able to do code testing, bug troubleshooting, and provide application support.Updated on technological developments.Preferred Experience in Banking Industry.Our office location:PT BANK DIGITAL BCAPlaza MutiaraKuningan, Kuningan Tim., Kecamatan Setiabudi, Kota Jakarta SelatanDKI JakartaWe perform WFO/WFH policy, so you will be required to come to the office at times.",Over 200 applicants,3 weeks ago
